ID,STID,TYPE,KEY,NLEVELS,CONTENTNAME,GRADE,DOK,CONTENT,SUBCONTENT,PVAL,PBIS,FORMAT
243145,44743,MC,C,2,2-5: CENTRAL IDEAS:,5,2,1,2,0.285239085,0.156344195,SR SI
243319,44743,MC,C,2,6-5: TEXT STRUCTURES,5,2,1,6,0.476706392,0.429859461,SR SI
243117,44743,MC,C,2,4-5: REASONING & EVI,5,3,1,4,0.43902439,0.426646751,EBSR:
242853,44743,MC,D,2,3-5: WORD MEANINGS:,5,2,1,3,0.308905852,0.229632436,SR SI
242909,44743,MC,B,2,4-5: REASONING & EVI,5,3,1,4,0.225180255,0.232875964,EBSR:
242220,44743,MC,HT,2,5-5: ANALYSIS WITHIN,5,4,1,5,0.371937639,0.420637728,HOT T
241746,44743,MC,D,2,7-5: LANGUAGE USE: I,5,2,1,7,0.470187394,0.368295904,SR SI
243258,44744,MC,B,2,1-5: KEY DETAILS: US,5,2,1,1,0.626361656,0.491959137,SR SI
243106,44744,MC,B,2,1-5: KEY DETAILS: US,5,2,1,1,0.033771107,0.099937186,SR MU
243260,44744,MC,A,2,2-5: CENTRAL IDEAS:,5,2,1,2,0.283437014,0.43687091,SR MU
243173,44744,CR,0,3,2-5: CENTRAL IDEAS:,5,3,1,2,0.074002883,0.39301812,SHORT
243262,44744,MC,HT,2,3-5: WORD MEANINGS:,5,2,1,3,0.685343228,0.562927921,HOT T
242951,44744,MC,B,2,3-5: WORD MEANINGS:,5,2,1,3,0.660208644,0.30872501,SR SI
242956,44744,MC,C,2,6-5: TEXT STRUCTURES,5,2,1,6,0.440840975,0.373084552,SR SI
242859,44744,MC,A,2,6-5: TEXT STRUCTURES,5,3,1,6,0.223809524,0.36011986,SR MU
242964,44744,MC,C,2,7-5: LANGUAGE USE: I,5,2,1,7,0.344191097,0.093590994,SR SI
242810,44744,MC,A,2,7-5: LANGUAGE USE: I,5,2,1,7,0.302890173,0.374408802,SR MU
241747,44744,MC,B,2,6-5: TEXT STRUCTURES,5,3,1,6,0.011235955,0.243550379,EBSR:
243197,44745,MC,B,2,1-4: KEY DETAILS: US,4,2,1,1,0.12256006,0.321984422,SR MU
243313,44745,MC,A,2,2-4: CENTRAL IDEAS:,4,2,1,2,0.788439527,0.5107033,SR SI
243114,44745,CR,0,3,2-4: CENTRAL IDEAS:,4,3,1,2,0.102323009,0.39691876,SHORT
243318,44745,MC,HT,2,3-4: WORD MEANINGS:,4,2,1,3,0.409858512,0.33370133,HOT T
243203,44745,MC,D,2,3-4: WORD MEANINGS:,4,2,1,3,0.226548673,0.087249429,SR SI
243326,44745,MC,D,2,4-4: REASONING & EVA,4,3,1,4,0.401874311,0.468804892,EBSR:
243148,44745,MC,C,2,6-4: TEXT STRUCTURES,4,3,1,6,0.676271186,0.494962216,SR SI
243333,44745,MC,C,2,6-4: TEXT STRUCTURES,4,3,1,6,0.12231405,0.332084337,SR MU
243210,44745,MC,D,2,3-4: WORD MEANINGS:,4,2,1,3,0.727770178,0.552525076,SR SI
241766,44745,MC,A,2,5-4: ANALYSIS WITHIN,4,3,1,5,0.300917431,0.211844828,SR SI
241800,44745,MC,A,2,5-4: ANALYSIS WITHIN,4,3,1,5,0.258241758,0.436608235,SR MU
241748,44745,MC,A,2,7-4: LANGUAGE USE: D,4,2,1,7,0.2172362,0.411173561,SR MU
244303,44749,MC,B,2,2-4: CENTRAL IDEAS:,4,2,1,2,0.663591636,0.484236152,SR SI
244415,44749,MC,A,2,4-4: REASONING & EVA,4,3,1,4,0.417498686,0.567568572,EBSR:
241792,44749,MC,C,2,5-4: ANALYSIS WITHIN,4,3,1,5,0.095121951,0.20315935,EBSR:
244295,44749,MC,HT,2,1-4: KEY DETAILS: US,4,2,1,1,0.375119226,0.517248249,HOT T
244547,44749,MC,HT,2,2-4: CENTRAL IDEAS:,4,2,1,2,0.42350886,0.418332401,HOT T
244549,44749,MC,B,2,4-4: REASONING & EVA,4,3,1,4,0.269196257,0.463041139,EBSR:
241758,44749,MC,B,2,7-4: LANGUAGE USE: D,4,2,1,7,0.279874214,0.514090018,SR MU
243253,44751,MC,A,2,4-5: REASONING & EVI,5,3,1,4,0.172239108,0.271513402,EBSR:
243255,44751,MC,D,2,6-5: TEXT STRUCTURES,5,2,1,6,0.207228916,0.142570432,SR SI
243129,44751,MC,C,2,3-5: WORD MEANINGS:,5,2,1,3,0.671966084,0.537566424,SR SI
243256,44751,MC,B,2,6-5: TEXT STRUCTURES,5,3,1,6,0.028571429,-0.053287161,SR MU
243172,44751,MC,A,2,3-5: WORD MEANINGS:,5,2,1,3,0.244692144,0.34554904,SR MU
243131,44751,CR,0,3,4-5: REASONING & EVI,5,3,1,4,0.119210327,0.486142547,SHORT
243263,44751,CR,0,3,2-5: CENTRAL IDEAS:,5,3,1,2,0.062672176,0.321444399,SHORT
241768,44751,MC,A,2,7-5: LANGUAGE USE: I,5,2,1,7,0.355197332,-0.059121463,SR SI
241769,44751,MC,E,2,7-5: LANGUAGE USE: I,5,2,1,7,0.116096467,0.282291933,SR MU
244005,44757,MC,D,2,6-5: TEXT STRUCTURES,5,3,1,6,0.140350877,0.180570663,SR MU
244250,44757,MC,C,2,2-5: CENTRAL IDEAS:,5,2,1,2,0.578086489,0.342364489,SR SI
244040,44757,MC,HT,2,4-5: REASONING & EVI,5,3,1,4,0.281528507,0.409709681,HOT T
241778,44757,MC,A,2,5-5: ANALYSIS WITHIN,5,3,1,5,0.175675676,0.412020655,SR MU
244254,44757,MC,A,2,7-5: LANGUAGE USE: I,5,2,1,7,0.670535041,0.260244249,SR SI
243134,44760,MC,C,2,3-4: WORD MEANINGS:,4,1,1,3,0.544640859,0.48532654,SR SI
243184,44760,CR,0,3,4-4: REASONING & EVA,4,3,1,4,0.074026686,0.312785793,SHORT
243111,44760,CR,0,3,2-4: CENTRAL IDEAS:,4,3,1,2,0.049274744,0.306352906,SHORT
243194,44760,MC,D,2,6-4: TEXT STRUCTURES,4,3,1,6,0.373611111,0.345915375,SR SI
243309,44760,MC,D,2,6-4: TEXT STRUCTURES,4,3,1,6,0.01978691,0.113989955,SR MU
243192,44760,MC,HT,2,2-4: CENTRAL IDEAS:,4,2,1,2,0.018857304,0.135386483,HOT T
243301,44760,MC,HT,2,1-4: KEY DETAILS: US,4,1,1,1,0.567311923,0.355766313,HOT T
